Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.800000	0.000000	0	5	50	n	0.10183672	0.46549235	0.17741499	0.42818102
0.800000	0.000000	0	4	75	t	0.18724640	0.43137933	0.28817175	0.40494661
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.900000	0.000000	0	1	1	n	0.14231776	0.15213160	0.32128456	0.13283879
0.900000	0.000000	0	4	all	n	0.11227328	0.25027763	0.20226975	0.19436940
0.900000	0.000000	0	5	all	n	0.11799672	0.26261967	0.20144473	0.20455406
0.900000	0.000000	0	3	one	t	0.22138468	0.20863512	0.41066623	0.17447975
0.900000	0.000000	0	3	50	t	0.22493808	0.21004040	0.41188347	0.17349966
0.900000	0.000000	0	3	75	n	0.12695815	0.19905713	0.27718851	0.17095608
0.900000	0.000000	0	2	all	n	0.12042234	0.20211200	0.25089833	0.15587615
0.900000	0.000000	0	5	75	n	0.13374050	0.20649777	0.28537147	0.18839291
0.900000	0.000000	0	4	one	t	0.22135431	0.21548885	0.41107294	0.18462033
0.900000	0.000000	0	2	75	t	0.22848840	0.18408910	0.44298073	0.15214505
0.900000	0.000000	0	3	one	n	0.12710663	0.18621501	0.25258910	0.15126608
0.900000	0.000000	0	4	75	n	0.12814091	0.20371918	0.28060036	0.18090480
0.900000	0.000000	0	4	50	t	0.22514817	0.21609250	0.41356998	0.18445180
0.900000	0.000000	0	4	50	n	0.12790275	0.21609250	0.26872082	0.18445180
0.900000	0.000000	0	2	50	t	0.22808051	0.18793771	0.43662877	0.15333257
0.900000	0.000000	0	4	one	n	0.12794903	0.19131935	0.24961416	0.15474048
0.900000	0.000000	0	2	one	n	0.13045938	0.17475039	0.28577805	0.14608559
0.900000	0.000000	0	5	50	t	0.23163025	0.22262380	0.41551438	0.19299519
0.900000	0.000000	0	3	50	n	0.12665847	0.21004040	0.26611017	0.17349966
0.900000	0.000000	0	3	all	t	0.21340439	0.23734188	0.35389028	0.18107333
0.900000	0.000000	0	5	one	n	0.12809111	0.19359490	0.24664380	0.15586577
0.900000	0.000000	0	1	1	t	0.24696631	0.15213160	0.47682113	0.13283879
0.900000	0.000000	0	2	50	n	0.12980079	0.18793771	0.28251824	0.15333257
0.900000	0.000000	0	2	75	n	0.13013888	0.18408910	0.28806295	0.15214505
0.900000	0.000000	0	5	one	t	0.22600767	0.21901786	0.41419656	0.19238847
0.900000	0.000000	0	3	75	t	0.22564039	0.19905713	0.42543279	0.17095608
0.900000	0.000000	0	2	one	t	0.22535775	0.19071668	0.43678704	0.15328849
0.900000	0.000000	0	4	all	t	0.21111306	0.25027763	0.33985719	0.19436940
0.900000	0.000000	0	5	75	t	0.23026738	0.20649777	0.43191816	0.18839291
0.900000	0.000000	0	3	all	n	0.11263112	0.23734188	0.20630836	0.18107333
0.900000	0.000000	0	2	all	t	0.21816819	0.20211200	0.40655982	0.15587615
0.900000	0.000000	0	5	all	t	0.21628027	0.26261967	0.33355883	0.20455406
0.900000	0.000000	0	5	50	n	0.13508269	0.22262380	0.27271495	0.19299519
0.900000	0.000000	0	4	75	t	0.22577498	0.20371918	0.42816115	0.18090480
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.000000	0.300000	0	1	1	n	0.31182256	0.18729941	0.70458413	0.39078973
0.000000	0.300000	0	4	all	n	0.29621683	0.26902311	0.60136623	0.46586790
0.000000	0.300000	0	5	all	n	0.29164636	0.27546806	0.58804762	0.47645704
0.000000	0.300000	0	3	one	t	0.37119377	0.25471283	0.73307101	0.44585120
0.000000	0.300000	0	3	50	t	0.36823507	0.25896784	0.72868459	0.44768952
0.000000	0.300000	0	3	75	n	0.28672272	0.25522276	0.61449100	0.44683389
0.000000	0.300000	0	2	all	n	0.29112437	0.23530385	0.64507582	0.42356318
0.000000	0.300000	0	5	75	n	0.29840839	0.27064556	0.59017798	0.47520989
0.000000	0.300000	0	4	one	t	0.39136625	0.26379941	0.72538231	0.46317654
0.000000	0.300000	0	2	75	t	0.37534955	0.23163379	0.76026510	0.42295386
0.000000	0.300000	0	3	one	n	0.24289575	0.25020730	0.53328825	0.41913980
0.000000	0.300000	0	4	75	n	0.30438478	0.26432003	0.60336371	0.46471668
0.000000	0.300000	0	4	50	t	0.38106750	0.26861425	0.71988923	0.46577456
0.000000	0.300000	0	4	50	n	0.29698754	0.26861425	0.60150142	0.46577456
0.000000	0.300000	0	2	50	t	0.37362115	0.23503847	0.75863030	0.42352947
0.000000	0.300000	0	4	one	n	0.24199498	0.25895593	0.50174274	0.42400655
0.000000	0.300000	0	2	one	n	0.25828580	0.23507796	0.61619609	0.41194986
0.000000	0.300000	0	5	50	t	0.37612154	0.27504433	0.70731069	0.47635333
0.000000	0.300000	0	3	50	n	0.28595659	0.25896784	0.61300538	0.44768952
0.000000	0.300000	0	3	all	t	0.36740401	0.25937669	0.72844917	0.44778287
0.000000	0.300000	0	5	one	n	0.24308737	0.27310505	0.47310025	0.42730983
0.000000	0.300000	0	1	1	t	0.39116568	0.18729941	0.81298344	0.39078973
0.000000	0.300000	0	2	50	n	0.29194397	0.23503847	0.64524106	0.42352947
0.000000	0.300000	0	2	75	n	0.29303552	0.23163379	0.64655801	0.42295386
